"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"美人","びじん","6級から","","","5067","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"初日","しょにち","6級から","","しょにち / しょじつ / はつひ","5075","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"平日","へいじつ","6級から","","へいじつ / ひらび","5084","常用漢字表","校正不要"
"公社","こうしゃ","6級から","","","5088","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"推定","すいてい","5級から","","","5089","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"金銭","きんせん","5級から","","","5095","常用漢字表","校正不要"
"回路","かいろ","6級から","","","5096","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"由来","ゆらい","6級から","","","5098","常用漢字表","校正不要"
"東北","とうほく","6級から","","とうほく / ひがしきた","5100","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"割引","わりびき","5級から","","","5106","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"暗号","あんごう","6級から","","","5110","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"共産","きょうさん","6級から","","","5111","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"策定","さくてい","5級から","","","5113","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"最中","さいちゅう","6級から","","さいちゅう / もなか","5115","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"公平","こうへい","6級から","","","5116","常用漢字表","校正不要"
"謝罪","しゃざい","6級から","","","5122","常用漢字表","校正不要"
"分間","ふんかん","6級から","","","5124","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"助成","じょせい","6級から","","","5126","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"衣装","いしょう","5級から","","","5127","常用漢字表","校正不要"
"改造","かいぞう","6級から","","","5131","常用漢字表","校正不要"
"加速","かそく","6級から","","","5135","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"新作","しんさく","6級から","","","5147","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"欲望","よくぼう","5級から","","","5154","常用漢字表","校正不要"
"区域","くいき","5級から","","","5156","常用漢字表","校正不要"
"保管","ほかん","6級から","","","5163","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"若手","わかて","5級から","","","5165","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"無意識","むいしき","6級から","","","5170","国語辞典(JMdict)｜三字熟語","校正不要"
"公害","こうがい","6級から","","","5174","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"会館","かいかん","6級から","","","5175","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"不十分","ふじゅうぶん","6級から","","","5176","国語辞典(JMdict)｜三字熟語","校正不要"
"映画館","えいがかん","5級から","","","5179","国語辞典(JMdict)｜三字熟語","校正不要"
"異議","いぎ","5級から","","","5183","常用漢字表","校正不要"
"平気","へいき","6級から","","","5185","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"移住","いじゅう","6級から","","","5186","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"処置","しょち","5級から","","","5189","常用漢字表","校正不要"
"留学生","りゅうがくせい","6級から","","","5190","国語辞典(JMdict)｜三字熟語","校正不要"
"従事","じゅうじ","5級から","","","5191","常用漢字表","校正不要"
"分散","ぶんさん","6級から","","","5193","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"分科","ぶんか","6級から","","","5197","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"発足","ほっそく","6級から","","ほっそく / はっそく","5199","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"室内","しつない","6級から","","","5206","常用漢字表","校正不要"
